Location Name,Region,Identifier,Latitude,Longitude,RAOB Date,RAOB Time (UTC),RAOB Cycle,Obs 250mb (kt),GFS (kt),GFS Delta,ECMWF (kt),ECMWF Delta,CMC (kt),CMC Delta,ICON (kt),ICON Delta,RAOB Source,Status,Note
Harbin,CN,50953,45.75,126.63,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
Tokyo/Tateno,JP,47646,36.05,140.13,2026-01-22,12:00,12Z,148,155,7,,,151,3,152,4,UWYO,OK,Exact 250 mb level.
Sapporo,JP,47412,43.05,141.33,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
Kagoshima,JP,47827,31.55,130.55,2026-02-02,12:00,12Z,132,141,9,,,142,10,146,14,UWYO,OK_ESTIMATED,Nearest level used: 282 mb
Seoul/Osan,KR,47122,37.10,127.03,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
Hong Kong,HK,45004,22.32,114.17,2026-02-04,00:00,00Z,74,73,-1,,,68,-6,68,-6,UWYO,OK,Exact 250 mb level.
Taipei,TW,46692,25.03,121.52,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
Bangkok,TH,48455,13.73,100.57,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
Singapore,SG,48698,1.37,103.98,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
New Delhi,IN,42182,28.58,77.20,2026-02-04,00:00,00Z,62,56,-6,,,58,-4,60,-3,UWYO,OK,Exact 250 mb level.
Ankara,TR,17130,39.95,32.88,2026-02-03,12:00,12Z,83,89,6,,,86,3,85,2,UWYO,OK,Exact 250 mb level.
Tel Aviv,IL,40179,32.00,34.82,2026-02-04,00:00,00Z,75,77,2,,,73,-2,75,-1,UWYO,OK,Exact 250 mb level.
Kuwait City,KW,40375,29.22,47.98,2026-02-04,00:00,00Z,81,93,12,,,93,12,90,9,UWYO,OK,Exact 250 mb level.
Abu Dhabi,AE,41217,24.43,54.65,2026-02-04,00:00,00Z,77,76,-1,,,77,0,79,2,UWYO,OK,Exact 250 mb level.
Camborne,UK,3808,50.22,-5.33,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
Lerwick,UK,3005,60.13,-1.18,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
Herstmonceux,UK,3882,50.89,0.32,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
Stavanger,NO,1415,58.87,5.67,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
De Bilt,NL,6260,52.10,5.18,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
Paris/Trappes,FR,7145,48.77,2.02,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
Bordeaux,FR,7510,44.83,-0.69,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
Madrid,ES,8221,40.47,-3.58,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
Murcia,ES,8430,38.00,-1.17,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
"Anchorage, AK",AK,PANC,61.18,-149.99,2026-02-04,00:00,00Z,38,34,-4,,,33,-5,33,-5,IEM,OK,Exact 250 mb level.
"Fairbanks, AK",AK,PAFA,64.81,-147.86,,,,,,,,,,,,,,NO_WY_STNM,Need 5-digit WMO to use UWyo.
